DAILY VALUES

Stations
 Stnr Name     Operates from Operates until Altitude Latitude Longitude Municipality County    Region                                                                                                 
 8140 EVENSTAD Oct 2001                          257  61.4255   11.0803 Stor-Elvdal  INNLANDET SOUTHEASTERN NORWAY                                                                            


Elements
 Code Name                                Unit            
 POM  Average air pressure, station level hPa                                          
 PON  Minimum air pressure, station level hPa                                          
 POX  Maximum air pressure, station level hPa                                          
 PRM  Average air pressure, sea level     hPa                                      
 PRN  Minimum air pressure, sea level     hPa                                      
 PRX  Maximum air pressure, sea level     hPa                                      
 RR   Precipitation                       mm                   
 SA   Snow depth                          cm                
 SD   Snow cover                          code                
 SLAG Precipitation type                  code                          
 TAM  Mean temperature                    degC                       
 TAN  Minimum temperature                 degC                          
 TAX  Maximum temperature                 degC                          



Quality information for calculated values
 Explanation               Level                
 OK                        0       
 OK                        1       
 Slightly uncertain        2                       
 Slightly uncertain        3                       
 Slightly uncertain        4                       
 Very uncertain            5                   
 Very uncertain, modeldata 6                              
 Erroneous                 7              


****************** NOTE *****************
Datavalue marked x means not access or that the quality is 'Erroneous' (Level 7 or more).
********************************************

     St.no       Date        POM  fPOM        PON  fPON        POX  fPOX        PRM  fPRM        PRN  fPRN        PRX  fPRX RR  fRR SA  fSA SD  fSD SLAG  fSLAG        TAM  fTAM        TAN  fTAN        TAX  fTAX                                                                                                
      8140 01.06.2017      984.2     2      983.3     2      987.2     2     1015.2     2     1013.7     2     1018.7     2 NA    2 NA    2 NA    2   NA      2        7.8     0       -0.7     2       14.1     2                                                                               
      8140 02.06.2017      987.1     2      985.5     2      988.9     2     1018.0     2     1016.3     2     1020.2     2 NA    2 NA    2 NA    2   NA      2        9.8     0        1.9     2       16.2     2                                                                              
      8140 03.06.2017      983.8     2      981.9     2      985.5     2     1014.6     2     1012.5     2     1016.6     2 NA    2 NA    2 NA    2   NA      2       10.4     0        7.1     2       13.1     2                                                                               
      8140 04.06.2017      976.6     2      972.3     2      981.6     2     1007.0     2     1002.6     2     1012.3     2 NA    2 NA    2 NA    2   NA      2       11.6     0       10.0     2       14.6     2                                                                                
      8140 05.06.2017      972.6     2      971.8     2      973.6     2     1002.9     2     1002.3     2     1004.2     2 NA    2 NA    2 NA    2   NA      2       11.1     0        8.2     2       15.4     2                                                                               
      8140 06.06.2017      976.3     2      973.5     2      978.6     2     1006.7     2     1004.3     2     1009.3     2 NA    2 NA    2 NA    2   NA      2       11.4     0        6.3     2       16.5     2                                                                               
      8140 07.06.2017      975.5     2      971.8     2      979.3     2     1005.8     2     1002.0     2     1010.1     2 NA    2 NA    2 NA    2   NA      2       12.4     0        8.6     2       18.7     2                                                                               
      8140 08.06.2017      977.2     2      974.8     2      980.1     2     1007.7     2     1005.4     2     1010.8     2 NA    2 NA    2 NA    2   NA      2       11.1     0        9.3     2       14.2     2                                                                               
      8140 09.06.2017      981.8     2      980.0     2      983.3     2     1012.3     2     1010.6     2     1013.9     2 NA    2 NA    2 NA    2   NA      2       11.9     0        9.9     2       15.1     2                                                                               
      8140 10.06.2017      981.4     2      980.7     2      983.2     2     1011.9     2     1011.2     2     1013.9     2 NA    2 NA    2 NA    2   NA      2       12.3     0       10.6     2       14.7     2                                                                                
      8140 11.06.2017      976.4     2      969.1     2      981.0     2     1006.6     2      999.2     2     1011.5     2 NA    2 NA    2 NA    2   NA      2       13.0     0       12.0     2       15.5     2                                                                               
      8140 12.06.2017      965.3     2      963.2     2      968.5     2      995.1     2      992.8     2      998.6     2 NA    2 NA    2 NA    2   NA      2       13.4     0       11.0     2       16.5     2                                                                             
      8140 13.06.2017      975.6     2      968.9     2      981.5     2     1005.8     2      999.2     2     1011.9     2 NA    2 NA    2 NA    2   NA      2       13.7     0        9.9     2       18.5     2                                                                              
      8140 14.06.2017      982.7     2      981.7     2      983.8     2     1012.9     2     1011.4     2     1014.5     2 NA    2 NA    2 NA    2   NA      2       14.7     0        8.3     2       20.6     2                                                                               
      8140 15.06.2017      981.1     2      977.2     2      984.4     2     1011.2     2     1007.5     2     1015.4     2 NA    2 NA    2 NA    2   NA      2       15.7     0        8.1     2       22.0     2                                                                               
      8140 16.06.2017      978.0     2      976.4     2      982.5     2     1008.1     2     1006.0     2     1013.1     2 NA    2 NA    2 NA    2   NA      2       14.7     0       11.6     2       19.5     2                                                                                
      8140 17.06.2017      983.8     2      982.3     2      986.0     2     1013.9     2     1011.8     2     1016.3     2 NA    2 NA    2 NA    2   NA      2       16.5     0        9.9     2       23.1     2                                                                               
      8140 18.06.2017      982.5     2      981.5     2      984.6     2     1012.5     2     1011.0     2     1015.5     2 NA    2 NA    2 NA    2   NA      2       17.5     0       12.0     2       23.6     2                                                                                
      8140 19.06.2017      982.2     2      977.7     2      985.3     2     1012.6     2     1008.1     2     1016.7     2 NA    2 NA    2 NA    2   NA      2       12.9     0        4.5     2       20.2     2                                                                               
      8140 20.06.2017      978.8     2      977.8     2      981.2     2     1009.2     2     1007.8     2     1012.0     2 NA    2 NA    2 NA    2   NA      2       12.1     0        3.7     2       18.0     2                                                                               
      8140 21.06.2017      982.4     2      981.4     2      983.5     2     1013.0     2     1011.6     2     1014.1     2 NA    2 NA    2 NA    2   NA      2       12.1     0        4.9     2       16.9     2                                                                               
      8140 22.06.2017      978.1     2      975.4     2      982.0     2     1008.5     2     1005.4     2     1012.9     2 NA    2 NA    2 NA    2   NA      2       12.4     0        7.9     2       17.9     2                                                                               
      8140 23.06.2017      972.8     2      968.8     2      976.0     2     1003.0     2      998.9     2     1007.1     2 NA    2 NA    2 NA    2   NA      2       12.5     0        4.0     2       18.3     2                                                                              
      8140 24.06.2017      966.7     2      965.7     2      968.5     2      996.8     2      995.6     2      998.6     2 NA    2 NA    2 NA    2   NA      2       11.2     0       10.2     2       14.4     2                                                                             
      8140 25.06.2017      962.2     2      960.1     2      965.7     2      992.3     2      989.5     2      996.4     2 NA    2 NA    2 NA    2   NA      2       10.3     0        3.3     2       17.6     2                                                                            
      8140 26.06.2017      968.0     2      963.1     2      975.7     2      998.3     2      993.7     2     1006.8     2 NA    2 NA    2 NA    2   NA      2       10.7     0        4.4     2       16.2     2                                                                             
      8140 27.06.2017      979.2     2      976.2     2      982.6     2     1009.8     2     1007.5     2     1014.0     2 NA    2 NA    2 NA    2   NA      2       10.5     0        0.8     2       17.2     2                                                                               
      8140 28.06.2017      981.1     2      979.0     2      983.3     2     1011.6     2     1008.7     2     1015.1     2 NA    2 NA    2 NA    2   NA      2       12.2     0        1.0     2       20.9     2                                                                               
      8140 29.06.2017      980.2     2      978.0     2      981.9     2     1010.4     2     1007.3     2     1013.4     2 NA    2 NA    2 NA    2   NA      2       14.2     0        3.5     2       22.7     2                                                                               
      8140 30.06.2017      979.3     2      976.5     2      982.2     2     1009.4     2     1005.7     2     1013.8     2 NA    2 NA    2 NA    2   NA      2       15.0     0        2.0     2       24.0     2                                                                               
